실시간 관찰 전자현미경 연구실,재료공학부,김영운,31-411,http://tem.snu.ac.kr
실시간 유비쿼터스 시스템 연구실,컴퓨터공학부,이창건,301동 415호,http://rubis.snu.ac.kr/
실시간운영체제연구실 ,전기·정보공학부,홍성수,944동 8층 산학연구실,http://redwood.snu.ac.kr/
아날로그 및 혼성신호 집적회로 설계 연구실,전기·정보공학부,김수환,104-1동 306-2호,http://analog.snu.ac.kr
아키텍처 및 코드 최적화 연구실,컴퓨터공학부,이재욱,301동 554-1호,https://snu-arc.github.io/
암반공학연구실,에너지자원공학과,"전석원, 송재준, 민기복",38동 324호,http://rockeng.snu.ac.kr
암호 및 프라이버시 연구실,컴퓨터공학부,송용수,301동 451-1호,https://yongsoosong.github.io
양자정보 및 양자컴퓨팅 연구실,컴퓨터공학부,김태현,"301동 416호, 133동 M07, 108, 109",https://quiqcl.snu.ac.kr/
어드밴스드 에너지 시스템 연구실,기계공학부,송한호,301동 214호,https://aesl.co.kr/
언어 및 데이터지능 연구실,컴퓨터공학부,황승원,,https://seungwonh.github.io/ldi.html
에너지 디바이스 및 나노공학 연구실,기계공학부,이윤석,301동 1254호,http://energy.snu.ac.kr
에너지 및 환경유동 연구실,기계공학부,황원태,301동 1215호,http://eeflow.snu.ac.kr/
에너지 및 환경촉매 연구실,화학생물공학부,김도희,302동 806호 & 311동 511호,http://eecat.snu.ac.kr
에너지 신소재 연구실,재료공학부,강기석,31-403,http://energylab.snu.ac.kr/
에너지 재료 연구실,화학생물공학부,정인,302동 710호,http://inchung.snu.ac.kr/
에너지 환경 융합 연구실,전기·정보공학부,김성재,301동 914호,http://ees.snu.ac.kr/
에너지GIS연구실,에너지자원공학과,박형동,38동 320호,http://geo.snu.ac.kr
에너지공정공학 연구실,화학생물공학부,이종민,302동 713호,http://epel.snu.ac.kr
에너지나노재료연구실,재료공학부,박병우,131-413,http://bp.snu.ac.kr/
에너지시스템연구실,조선해양공학과,서유택,"34동 314,315호",https://www.snusefa.org/
연성소재 나노물리 연구실,화학생물공학부,김소연,302동 712호 ,https://soyounkim.snu.ac.kr
열린구조연구실,조선해양공학과,장범선,41동 201호,http://openlab.snu.ac.kr
열수력계통연구실,원자핵공학과,조형규,31동 207호,http://nuthel.snu.ac.kr
운동 연구실,컴퓨터공학부,이제희,302동 312-1호,http://mrl.snu.ac.kr
운영관리 연구실,산업공학과,박건수,39동 412호,https://sites.google.com/site/kunsoosite/
원자 및 전자구조 연구실,재료공학부,김미영,30-517,http://emsl.snu.ac.kr/
원자력시스템 및 응용연구실,원자핵공학과,김응수,31-209,
원자로물리 연구실,원자핵공학과,주한규,32동 103호,http://neutron.snu.ac.kr
위성항법 연구실,항공우주공학과,기창돈,"302동 418-2호, 312동 501호",http://gnss.snu.ac.kr
유기 고분자 전자 연구실,화학생물공학부,오준학,302동 217호,http://ohgroup.snu.ac.kr
유기광기능재료연구실,재료공학부,김재필,"30-402, 403",https://sites.google.com/view/colorist
유기재료 설계 및 합성 연구실,재료공학부,권민상,131-312,http://kwonlab.snu.ac.kr/
유기차세대반도체 연구실,재료공학부,강기훈,"131-412, 414",https://keehoonkang.wixsite.com/onelab
유기합성 분자공학 연구실,화학생물공학부,유동원,302동 906호,http://yoolab.snu.ac.kr
"유연 나노, 신경모사, 에너지 전자소자 연구실",재료공학부,이태우,30-411,http://pnel.snu.ac.kr
유전박막실험실,재료공학부,황철성,30-215,http://dtfl.snu.ac.kr/
유체물리 및 정보공학 연구실,건설환경공학부,황진환,35동 509호,https://ceslsnu.wordpress.com/
음향 및 진동 연구실,기계공학부,강연준,"301동 221호, 314동 102호",http://acustica.snu.ac.kr/
응용구조동역학연구실,건설환경공학부,채윤병,35-302,
응용나노 및 열공학 연구실,기계공학부,고승환,"302동 411-1호(Office), 414-2호(실험실)",http://ants.snu.ac.kr
의료정보 연구실,협동과정바이오엔지니어링전공,최진욱,서울대학교병원,http://medinfo.snu.ac.kr/
의용전자연구실,협동과정바이오엔지니어링전공,김희찬,서울대학교병원,http://melab.snu.ac.kr/
이동 컴퓨팅 및 통신 연구실,컴퓨터공학부,전화숙,302동 313-1호,http://mccl.snu.ac.kr
이동통신연구실,전기·정보공학부,이광복,132동 313호,http://mobile.snu.ac.kr/
인간 중심 컴퓨터 시스템 연구실,컴퓨터공학부,이영기,301-412,https://hcs.snu.ac.kr/
인공심장 연구실,협동과정바이오엔지니어링전공,민병구,서울대학교병원,http://myriad.snu.ac.kr/
인지지능연구실,전기·정보공학부,최진영,133동 411호,http://pil.snu.ac.kr
인터넷 융합 및 보안 연구실,컴퓨터공학부,권태경,"301동 551-1, 551-2, 554-1호",http://mmlab.snu.ac.kr
인터랙티브/네트워크 로보틱스 연구실(INRoL),기계공학부,이동준,"301동 211/1217호, 313동 202/203/204호",http://inrol.snu.ac.kr
임베디드시스템 연구실,컴퓨터공학부,김지홍,302동 315-2호,http://cares.snu.ac.kr
자율로봇연구실,항공우주공학과,김현진,300동 504호,http://larr.snu.ac.kr
자율로봇지능 연구실,공학전문대학원,김성우,36-212,https://arisnu.squarespace.com
재료공정해석및설계연구실,재료공학부,이경우,33동 117호,http://mpadl.snu.ac.kr/
재료역학연구실,재료공학부,이명규,"30-521,522,523",https://sites.google.com/view/snumml/home
재료열공학연구실,재료공학부,장혜진,30-419,https://hjang.group/
재생바이오의공학연구실,화학생물공학부,김병수,302동 807호,http://scte.snu.ac.kr
재생에너지변환실험실,기계공학부,차석원,301동 212호,http://snurecl.com/
전기-의학 융합 연구실,전기·정보공학부,서종모,301-719,http://efe.snu.ac.kr
전기에너지변환 연구실,전기·정보공학부,하정익,301동 617호,http://eecl.snu.ac.kr
"전기화학 에너지 변환저장 연구실", ,"오승모
",,http://eng.snu.ac.kr/~elecchem/
전기화학 에너지 시스템 연구실,화학생물공학부,이규태,302동 1006호,http://electrochem.snu.ac.kr/
전력변환시스템 연구실,전기·정보공학부,최성휘,301동 653-2호,https://pcsl.snu.ac.kr/
전력시스템 및 경제 연구실,전기·정보공학부,윤용태,"301동514, 716호",http://epnel.snu.ac.kr
전력전자 연구실,전기·정보공학부,설승기,"301동 618호, 130동 307호",http://eepel.snu.ac.kr
전산구조역학연구실,조선해양공학과,조선호,41동 206호,http://csml.snu.ac.kr/
