시군구,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 강남구 개포동,디에이치아너힐즈,전세,84.3558,202307,"       135,000",             0,20,2019,삼성로 11,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,76.1709,202307,"       115,000",             0,9,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,106.9845,202307,"       108,500",           315,18,2019,삼성로 11,202310~202510,갱신,-,"73,500",315
서울특별시 강남구 개포동,디에이치아너힐즈,전세,59.7479,202307,"        80,000",             0,5,2019,삼성로 11,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.357,202307,"        85,000",           160,9,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,76.1709,202307,"       120,000",             0,8,2019,삼성로 11,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,84.6348,202307,"       130,000",             0,2,2019,삼성로 11,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,59.7479,202307,"       100,000",             0,19,2019,삼성로 11,-,-,-, , 
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.6348,202307,"        10,000",           455,8,2019,삼성로 11,202309~202409,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,76.1709,202307,"        50,000",           290,26,2019,삼성로 11,202309~202609,갱신,사용,"50,000",270
서울특별시 강남구 개포동,디에이치아너힐즈,전세,59.7479,202307,"        77,000",             0,24,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,59.8732,202307,"        10,000",           360,9,2019,삼성로 11,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,월세,84.3558,202307,"        96,000",           120,4,2019,삼성로 11,202310~202510,갱신,-,"88,000",120
