Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,9.880000,10.450000,9.850000,9.980000,9.980000,48054100
2023-07-12,9.570000,9.750000,9.390000,9.450000,9.450000,62229200
2023-07-13,9.170000,9.270000,8.810000,8.870000,8.870000,59171900
2023-07-14,8.870000,9.320000,8.630000,9.190000,9.190000,68052500
2023-07-17,9.200000,9.380000,8.410000,8.550000,8.550000,67396100
2023-07-18,8.680000,8.870000,8.420000,8.510000,8.510000,53181900
2023-07-19,8.470000,8.890000,8.470000,8.810000,8.810000,55384100
2023-07-20,9.300000,9.920000,9.210000,9.790000,9.790000,92489800
2023-07-21,9.490000,9.710000,9.260000,9.520000,9.520000,67405200
2023-07-24,9.530000,9.690000,9.330000,9.530000,9.530000,44441200
2023-07-25,9.390000,9.390000,8.890000,9.050000,9.050000,52622900
2023-07-26,9.390000,9.730000,9.210000,9.450000,9.450000,64056600
2023-07-27,8.730000,9.080000,8.320000,8.900000,8.900000,119959600
2023-07-28,8.400000,8.680000,8.250000,8.350000,8.350000,73373000
2023-07-31,8.270000,8.410000,8.170000,8.250000,8.250000,56946300
2023-08-01,8.440000,8.550000,8.180000,8.220000,8.220000,60783000
2023-08-02,8.550000,9.320000,8.540000,9.170000,9.170000,102718400
2023-08-03,9.550000,9.620000,9.050000,9.250000,9.250000,82818500
2023-08-04,9.360000,9.630000,8.930000,9.320000,9.320000,77242600
2023-08-07,9.110000,9.290000,8.990000,9.010000,9.010000,50702000
2023-08-08,9.450000,9.820000,9.420000,9.470000,9.470000,57091900
2023-08-09,9.490000,10.040000,9.470000,9.980000,9.980000,60952500
2023-08-10,9.750000,10.330000,9.420000,10.130000,10.130000,75537100
2023-08-11,10.510000,10.920000,10.480000,10.840000,10.840000,73392100
2023-08-14,11.010000,11.110000,9.930000,9.930000,9.930000,67219900
2023-08-15,10.060000,10.470000,9.980000,10.440000,10.440000,66270100
